156
0,2.34
1,2.99
2,3.01
3,3.07
4,3.32
5,3.63
6,2.13
7,3.39
8,2.48
9,2.93
10,3.9
11,2.61
12,3.4
13,2.53
14,2.72
15,3.3
16,2.19
17,2.04
18,3.17
19,3.47
20,2.15
21,2.8
22,2.88
23,3.86
24,3.39
25,3.84
26,3.82
27,2.5
28,3.48
29,3.89
30,2.13
31,2.55
32,3.23
33,3.71
34,2.44
35,2.54
36,2.43
37,2.43
38,3.36
39,2.78
40,2.11
41,2.85
42,2.31
43,2.51
44,3.54
45,2.13
46,3.52
47,3.77
48,3.58
49,2.94
50,3.84
51,3.23
52,3.96
53,2.01
54,2.94
55,3.13
56,2.73
57,2.03
58,2.64
59,3.91
60,3.31
61,3.02
62,2.5
63,2.67
64,2.91
65,2.94
66,3.13
67,2.31
68,2.34
69,2.08
70,2.9
71,3.26
72,3.45
73,3.23
74,2.34
75,2.84
76,3.38
77,3.52
78,3.57
79,3.13
80,2.98
81,3.37
82,2.92
83,3.19
84,3.72
85,3.19
86,2.06
87,3.07
88,2.41
89,2.81
90,3.06
91,3.16
92,3.93
93,2.1
94,2.6
95,2.18
96,3.78
97,2.55
98,2.72
99,3.37
100,3.73
101,2.3
102,3.45
103,2.48
104,3.07
105,3.74
106,3.91
107,2.4
108,2.36
109,3.94
110,2.77
111,3.88
112,2.37
113,2.09
114,3.36
115,3.45
116,3.34
117,2.9
118,3.57
119,2.61
120,3.29
121,3.4
122,3.71
123,3.45
124,3.96
125,3.39
126,2.79
127,2.89
128,3.06
129,3.88
130,2.41
131,2.4
132,3.57
133,2.25
134,3.18
135,2.67
136,2.18
137,3.35
138,2.89
139,3.38
140,3.84
141,2.4
142,3.6
143,3.85
144,2.72
145,3.24
146,3.75
147,2.78
148,2.46
149,3.63
150,3.08
151,3.96
152,3.93
153,2.25
154,3.72
155,2.98
